iteration,loss
20,-1.3516
30,-1.3438
40,-0.8359
50,-1.5547
60,-0.4141
70,-0.5898
80,-0.6953
90,-1.1172
100,-0.9336
110,0.5898
120,-1.25
130,-1.4297
140,-0.918
150,-0.2314
160,0.5977
170,-1.4688
180,-1.3047
190,0.1221
200,0.0366
210,-0.0344
220,-0.4941
230,-0.4121
240,-0.5547
250,0.0327
260,-1.2969
270,-0.7617
280,1.0938
290,-1.625
300,-1.4688
310,-1.1641
320,-0.4043
330,-0.8477
340,-1.3984
350,-1.0938
360,0.3477
370,-0.9414
380,-1.1172
390,-1.4922
400,-1.8828
410,-1.3203
420,-0.7461
430,-0.75
440,-1.1641
450,-1.1406
460,-1.6641
470,-1.3516
480,-1.1953
490,-1.4297
500,-0.9102
510,-1.2266
520,0.6484
530,-1.2969
540,-1.1094
550,-0.9297
560,-0.5742
570,-0.625
580,-1.2812
590,-0.2139
600,-0.5156
610,-0.6016
620,-1.6562
630,-1.4453
640,-1.4453
650,-1.4297
660,-1.0156
670,-0.6992
680,-0.8633
690,-1.2188
700,-1.375
710,-0.5898
720,-1.1094
730,-0.2363
740,-0.0967
750,-0.5156
760,-1.2891
770,-1.3984
780,-1.5938
790,-0.5273
800,-0.2383
810,-1.0078
820,-0.8633
830,-1.2344
840,-0.7695
850,-1.2969
860,-1.1094
870,0.1494
880,-0.832
890,-1.2422
900,-1.0078
910,-0.4395
920,-1.4375
930,-1.5469
940,-0.582
950,-1.0859
960,-1.2266
970,-0.9922
980,-0.9922
990,0.0045
1000,-0.5781
1010,-0.5703
1020,-1.0078
1030,-0.0452
1040,-0.9492
1050,-1.3359
1060,-1.6172
1070,-1.25
1080,-0.7656
1090,-0.4746
1100,-1.3047
1110,-0.5469
1120,-0.0762
1130,-0.6992
1140,-0.5703
1150,-0.9414
1160,-0.7031
1170,-1.1953
1180,-0.5117
1190,-0.6094
1200,-0.2988
1210,1.0078
1220,-1.2656
1230,-0.21
1240,0.4004
1250,-1.8984
1260,-0.9336
1270,-0.8594
1280,-1.4453
1290,-0.4336
1300,-1.0859
1310,-1.1641
1320,-1.2734
1330,-1.3359
1340,-0.7617
1350,-0.9961
1360,-0.5859
1370,-0.4062
1380,-1.3281
1390,-1.2969
1400,0.457
1410,-1.3359
1420,-0.918
1430,-1.2188
1440,-0.7109
1450,-0.7539
1460,0.0135
1470,-0.9297
1480,-1.2734
1490,-1.4297
1500,0.7539
1510,-1.5
1520,-0.165
1530,-0.75
1540,-1.3984
1550,-0.7578
1560,-0.3164
1570,-0.9648
1580,-1.1406
1590,-1.2344
1600,0.4043
1610,-1.1719
1620,-1.2422
1630,-0.9531
1640,-0.3555
1650,-1.1641
1660,-1.5
1670,-0.5625
1680,-0.9805
1690,-0.1484
1700,0.2578
1710,-1.2266
1720,-1.375
1730,-1.1562
1740,-0.7109
1750,-0.2559
1760,-0.7891
1770,-0.75
1780,-1.3203
1790,0.2363
1800,-1.2344
1810,-1.4688
1820,-1.4766
1830,-0.7031
1840,-1.0312
1850,-1.2812
1860,-1.0
1870,-0.6289
1880,-1.1562
1890,-1.2266
1900,0.4648
1910,-1.3594
1920,-1.1719
1930,-0.625
1940,0.9336
1950,0.105
1960,-0.8008
1970,-0.9492
1980,-1.1719
1990,-0.8945
2000,0.0898
2010,-0.7773
2020,-1.0156
2030,-0.832
2040,-0.2373
2050,-1.3359
2060,-1.0859
2070,-1.0781
2080,-1.0391
2090,-1.6875
2100,-1.4609
2110,-1.6797
2120,-0.625
2130,-1.4453
2140,-1.4609
2150,-0.9609
2160,-0.9805
2170,-1.625
2180,-0.5898
2190,-1.0078
2200,-0.1875
2210,-0.5859
2220,-1.2656
2230,-1.0859
2240,-1.5781
2250,-1.0
2260,-1.2031
2270,-0.1992
2280,-1.0703
2290,-1.0859
2300,-1.1797
2310,-0.7812
2320,-0.7461
2330,0.0322
2340,-0.0752
2350,-0.7656
2360,-0.9375
2370,-1.0547
2380,-1.3438
2390,-1.5469
2400,-0.9453
2410,-1.3984
2420,-0.5352
2430,-1.3125
2440,0.0825
2450,-1.0391
2460,-1.1484
2470,-0.7461
2480,-0.4512
2490,-0.8867
2500,-0.8477
2510,-1.4688
2520,-1.0312
2530,-1.5703
2540,-0.832
2550,-1.4609
2560,-1.5625
2570,-1.3125
2580,-0.9102
2590,-0.7148
2600,-0.1475
2610,-1.2109
2620,-1.2109
2630,-1.5234
2640,-1.0391
2650,-0.8828
2660,-1.3594
2670,-0.9492
2680,-1.0938
2690,-0.2344
2700,-1.375
2710,-1.8438
2720,-1.0391
2730,-1.5625
2740,-1.1094
2750,-1.4141
2760,-0.3027
2770,-0.75
2780,-1.0938
2790,-0.6953
2800,-1.1875
2810,-0.7148
2820,-0.6875
2830,-1.3438
2840,-1.2109
2850,-1.8438
2860,-1.1406
2870,-1.2578
2880,-0.4004
2890,-1.2734
2900,-0.9492
2910,-0.793
2920,-0.2949
2930,-1.1797
2940,-0.4688
2950,0.6602
2960,-1.2188
2970,-0.9844
2980,-0.5625
2990,-0.8906
3000,-1.2422
3010,-0.7812
3020,-0.8555
3030,0.7812
3040,-1.2969
3050,-0.7461
3060,-0.4492
3070,-0.0786
3080,-1.2188
3090,-1.1484
3100,-1.4531
3110,-0.2314
3120,-1.2812
3130,-0.5977
3140,-0.7617
3150,-1.4375
3160,-0.4609
3170,-0.3477
3180,-1.2656
3190,-1.0703
3200,-0.167
3210,-1.7109
3220,-1.1719
3230,-0.7773
3240,-1.2578
3250,-1.1641
3260,0.0483
3270,-1.8594
3280,-0.0179
3290,-0.9531
3300,-1.1484
3310,-1.2812
3320,-1.7109
3330,-1.4922
3340,-1.7266
3350,-0.7383
3360,-0.7773
3370,-1.2109
3380,-1.4062
3390,-0.9062
3400,-0.7734
3410,-1.4297
3420,-1.4453
3430,-0.4082
3440,-0.2793
3450,0.0654
3460,-1.4766
3470,-0.7578
3480,-0.7734
3490,-1.3984
3500,-1.375
3510,-0.6758
3520,-0.9453
3530,-0.8555
3540,-0.9336
3550,-0.5977
3560,-0.8242
3570,-0.0435
3580,-1.4531
3590,0.707
3600,0.6602
3610,-1.2344
3620,-1.2188
3630,-1.1562
3640,-1.1562
3650,-1.25
3660,-1.0391
3670,-1.1641
3680,-1.5156
3690,-1.9844
3700,-1.4062
3710,-1.0938
3720,-1.3672
3730,-1.3516
3740,-1.1797
3750,-1.5938
3760,-1.1797
3770,-1.4062
3780,-0.4395
3790,-0.918
3800,-0.4141
3810,-1.0938
3820,-0.582
3830,-0.5273
3840,-0.9219
3850,-0.0703
3860,-1.7734
3870,-0.4648
3880,-0.0031
3890,-0.6172
3900,0.0635
3910,-1.6406
3920,-1.1484
3930,-0.0718
3940,-1.0391
3950,-0.668
3960,-0.6875
3970,-1.3203
3980,-1.6719
3990,-1.2188
4000,-0.4434
4010,-1.0938
4020,-1.0
4030,-0.793
4040,-0.7148
4050,-0.6953
4060,-1.4375
4070,-1.4688
4080,-1.1016
4090,-0.9805
4100,0.6289
4110,0.4883
4120,-1.4531
4130,-0.9062
4140,-1.3047
4150,-1.2109
4160,-0.1797
4170,-1.0312
4180,-0.1309
4190,-0.7539
4200,-0.8359
4210,-0.5156
4220,-1.4062
4230,0.6016
4240,-1.1328
4250,-1.4453
4260,-0.1006
4270,-1.2344
4280,-0.1001
4290,0.3965
4300,-1.0938
4310,-1.1562
4320,-0.1758
4330,-1.3828
4340,-1.4141
4350,-1.7656
4360,-1.2969
4370,-0.6523
4380,-0.9961
4390,-0.5312
4400,-1.4922
4410,-0.6953
4420,-0.7109
4430,-1.1875
4440,-0.8086
4450,-0.875
4460,-0.9648
4470,-1.3359
4480,-1.2578
4490,-0.7266
4500,0.1992
